x,lx
0,100000
1,99129
2,99057
3,99010
4,98977
5,98948
6,98921
7,98897
8,98876
9,98855
10,98835
11,98814
12,98793
13,98771
14,98745
15,98712
16,98667
17,98606
18,98520
19,98406
20,98277
21,98137
22,97987
23,97830
24,97677
25,97524
26,97373
27,97222
28,97070
29,96916
30,96759
31,96597
32,96429
33,96255
34,96071
35,95878
36,95676
37,95463
38,95237
39,94997
40,94746
41,94476
42,94182
43,93868
44,93515
45,93133
46,92727
47,92295
48,91833
49,91332
50,90778
51,90171
52,89511
53,88791
54,88011
55,87165
56,86241
57,85256
58,84211
59,83083
60,81884
61,80602
62,79243
63,77807
64,76295
65,74720
66,73075
67,71366
68,69559
69,67655
70,65649
71,63543
72,61285
73,58911
74,56416
75,53818
76,51086
77,48251
78,45284
79,42203
80,39041
81,35824
82,32518
83,29220
84,25962
85,22780
86,19725
87,16843
88,14133
89,11625
90,9389
91,7438
92,5763
93,4350
94,3211
95,2315
96,1635
97,1115
98,740
99,453
100,263
101,145
102,76
103,37
104,17
105,7
106,2
