x,lx
0,100000
1,99511
2,99473
3,99446
4,99424
5,99406
6,99390
7,99376
8,99363
9,99350
10,99338
11,99325
12,99312
13,99296
14,99276
15,99250
16,99213
17,99163
18,99097
19,99015
20,98921
21,98820
22,98716
23,98612
24,98509
25,98406
26,98303
27,98198
28,98091
29,97982
30,97870
31,97756
32,97639
33,97517
34,97388
35,97249
36,97100
37,96939
38,96765
39,96576
40,96369
41,96141
42,95887
43,95606
44,95295
45,94952
46,94575
47,94164
48,93720
49,93244
50,92736
51,92196
52,91621
53,91009
54,90358
55,89665
56,88929
57,88151
58,87329
59,86460
60,85538
61,84558
62,83514
63,82399
64,81206
65,79926
66,78552
67,77078
68,75501
69,73816
70,72019
71,70105
72,68070
73,65914
74,63637
75,61239
76,58718
77,56072
78,53303
79,50411
80,47390
81,44234
82,40946
83,37546
84,34072
85,30575
86,27104
87,23707
88,20435
89,17338
90,14464
91,11852
92,9526
93,7498
94,5769
95,4331
96,3166
97,2249
98,1549
99,1032
100,663
101,410
102,244
103,139
104,75
105,39
106,19
107,9
108,4
109,2
110,1
